Name,tc,pc,w,L,M,N,c
2-METHYLPROPANAL,507.00,41.00,0.3622,0.1886,0.8342,2.8229,4.1473
2-METHYLPYRIDINE,621.00,46.00,0.2990,0.3803,0.8201,1.6242,-1.2269
2-METHYLTETRAHYDROFURAN,537.00,37.58,0.2816,0.1768,0.8448,2.6327,11.9303
2-METHYLTHIACYCLOPENTANE,628.40,41.83,0.2489,0.1784,0.8488,2.5688,N.A.
2-METHYLTHIOPHENE,609.00,49.10,0.2389,0.1603,0.8491,2.5637,-7.4664
2-NITROPROPANE,594.00,44.50,0.3836,0.5038,0.9098,1.8010,7.3086
2-NONANOL,649.50,25.41,0.6092,0.3290,0.7191,2.2259,-3.5881
2-NONANONE,652.50,24.10,0.4979,1.6946,1.0000,0.5943,16.7988
2-NORBORNENE,583.00,39.30,0.1590,0.1335,0.8248,2.0777,N.A.
2-OCTANOL,629.80,27.49,0.5881,0.1346,0.7070,2.7752,N.A.
2-OCTANONE,632.70,26.40,0.4549,0.4563,0.8381,2.4019,5.4785
2-PENTANOL,561.00,37.00,0.5550,0.0000,0.6134,2.5052,N.A.
2-PENTANONE,561.08,36.94,0.3433,0.4292,0.8041,1.5736,7.4409
2-PENTOXYETHANOL,641.20,30.36,0.6228,0.2510,0.8109,3.2310,-5.1682
2-PENTYNE,519.00,40.30,0.1752,0.0610,0.8195,2.5716,5.6025
